Window size: 1000, batch size: 10, learning rate: 2e-05, epochs: 600
Input dimension: 270, hidden dimension: 300, layer dimension: 1, output dimension: 5

Model loss after 1 epochs = 1.605109453201294, accuracy = 0.22500000894069672
Model loss after 377 epochs = 1.1033494472503662, accuracy = 0.9000000357627869
Model loss after 378 epochs = 1.097882866859436, accuracy = 0.8833333849906921
Model loss after 379 epochs = 1.0949786901474, accuracy = 0.8666667342185974
Model loss after 380 epochs = 1.0951480865478516, accuracy = 0.8666667342185974
Model loss after 381 epochs = 1.0904725790023804, accuracy = 0.8833333849906921
Model loss after 382 epochs = 1.0929110050201416, accuracy = 0.8833333849906921
Model loss after 383 epochs = 1.0908740758895874, accuracy = 0.8833333849906921
Model loss after 384 epochs = 1.0899930000305176, accuracy = 0.9000000357627869
Model loss after 385 epochs = 1.0917834043502808, accuracy = 0.8666667342185974
Model loss after 386 epochs = 1.0944305658340454, accuracy = 0.9000000357627869
Model loss after 387 epochs = 1.0892890691757202, accuracy = 0.8916667103767395
Model loss after 388 epochs = 1.0893532037734985, accuracy = 0.8750000596046448
Model loss after 389 epochs = 1.0881249904632568, accuracy = 0.8750000596046448
Model loss after 390 epochs = 1.0842803716659546, accuracy = 0.8833333849906921
Model loss after 391 epochs = 1.0867565870285034, accuracy = 0.8750000596046448
Model loss after 392 epochs = 1.0899527072906494, accuracy = 0.8750000596046448
Model loss after 393 epochs = 1.0931013822555542, accuracy = 0.8583333492279053
Model loss after 394 epochs = 1.0840156078338623, accuracy = 0.8916667103767395
Model loss after 395 epochs = 1.0840935707092285, accuracy = 0.8916667103767395
Model loss after 396 epochs = 1.0840001106262207, accuracy = 0.8750000596046448
Model loss after 397 epochs = 1.0820614099502563, accuracy = 0.8833333849906921
Model loss after 398 epochs = 1.0793893337249756, accuracy = 0.9000000357627869
Model loss after 399 epochs = 1.0799072980880737, accuracy = 0.8916667103767395
Model loss after 400 epochs = 1.081789493560791, accuracy = 0.8833333849906921
Model loss after 401 epochs = 1.077233910560608, accuracy = 0.8916667103767395
Model loss after 402 epochs = 1.0836347341537476, accuracy = 0.8666667342185974
Model loss after 403 epochs = 1.0850249528884888, accuracy = 0.8583333492279053
Model loss after 404 epochs = 1.076798677444458, accuracy = 0.8833333849906921
Model loss after 405 epochs = 1.0909932851791382, accuracy = 0.8666667342185974
Model loss after 406 epochs = 1.0827548503875732, accuracy = 0.8750000596046448
Model loss after 407 epochs = 1.0809053182601929, accuracy = 0.8833333849906921
Model loss after 408 epochs = 1.0831189155578613, accuracy = 0.8916667103767395
Model loss after 409 epochs = 1.0785465240478516, accuracy = 0.8916667103767395
Model loss after 410 epochs = 1.0784108638763428, accuracy = 0.8833333849906921
Model loss after 411 epochs = 1.0786774158477783, accuracy = 0.8833333849906921
Model loss after 412 epochs = 1.0775898694992065, accuracy = 0.8833333849906921
Model loss after 413 epochs = 1.0764442682266235, accuracy = 0.8833333849906921
Model loss after 414 epochs = 1.078877329826355, accuracy = 0.8833333849906921
Model loss after 415 epochs = 1.0701754093170166, accuracy = 0.8833333849906921
Model loss after 416 epochs = 1.0777103900909424, accuracy = 0.8916667103767395
Model loss after 417 epochs = 1.0723416805267334, accuracy = 0.8916667103767395
Model loss after 418 epochs = 1.0725128650665283, accuracy = 0.8833333849906921
Model loss after 419 epochs = 1.0725724697113037, accuracy = 0.8750000596046448
Model loss after 420 epochs = 1.0732226371765137, accuracy = 0.8916667103767395
Model loss after 421 epochs = 1.0692075490951538, accuracy = 0.8916667103767395
Model loss after 422 epochs = 1.0666760206222534, accuracy = 0.8916667103767395
Model loss after 423 epochs = 1.0656496286392212, accuracy = 0.8916667103767395
Model loss after 424 epochs = 1.0659443140029907, accuracy = 0.9083333611488342
Model loss after 425 epochs = 1.0669896602630615, accuracy = 0.9083333611488342
Model loss after 426 epochs = 1.0678579807281494, accuracy = 0.9000000357627869
Model loss after 427 epochs = 1.0615196228027344, accuracy = 0.9000000357627869
Model loss after 428 epochs = 1.0634745359420776, accuracy = 0.8833333849906921
Model loss after 429 epochs = 1.0672539472579956, accuracy = 0.8833333849906921
Model loss after 430 epochs = 1.064669132232666, accuracy = 0.9000000357627869
Model loss after 431 epochs = 1.0637048482894897, accuracy = 0.8916667103767395
Model loss after 432 epochs = 1.0618739128112793, accuracy = 0.8916667103767395
Model loss after 433 epochs = 1.065464735031128, accuracy = 0.8833333849906921
Model loss after 434 epochs = 1.0664950609207153, accuracy = 0.8916667103767395
Model loss after 435 epochs = 1.0622459650039673, accuracy = 0.9000000357627869
Model loss after 436 epochs = 1.0639413595199585, accuracy = 0.8916667103767395
Model loss after 437 epochs = 1.0630160570144653, accuracy = 0.8916667103767395
Model loss after 438 epochs = 1.0617843866348267, accuracy = 0.9083333611488342
Model loss after 439 epochs = 1.0638693571090698, accuracy = 0.8916667103767395
Model loss after 440 epochs = 1.062903642654419, accuracy = 0.9083333611488342
Model loss after 441 epochs = 1.0569599866867065, accuracy = 0.9083333611488342
Model loss after 442 epochs = 1.05926513671875, accuracy = 0.8916667103767395
Model loss after 443 epochs = 1.0578221082687378, accuracy = 0.8750000596046448
Model loss after 444 epochs = 1.0602864027023315, accuracy = 0.8916667103767395
Model loss after 445 epochs = 1.0627013444900513, accuracy = 0.8833333849906921
Model loss after 446 epochs = 1.0598288774490356, accuracy = 0.8916667103767395
Model loss after 447 epochs = 1.0602492094039917, accuracy = 0.9000000357627869
Model loss after 448 epochs = 1.0579850673675537, accuracy = 0.8833333849906921
Model loss after 449 epochs = 1.0636476278305054, accuracy = 0.8750000596046448
Model loss after 450 epochs = 1.0592986345291138, accuracy = 0.8916667103767395
Model loss after 451 epochs = 1.0535494089126587, accuracy = 0.8916667103767395
Model loss after 452 epochs = 1.052577257156372, accuracy = 0.8916667103767395
Model loss after 453 epochs = 1.054789662361145, accuracy = 0.8916667103767395
Model loss after 454 epochs = 1.0535423755645752, accuracy = 0.9000000357627869
Model loss after 455 epochs = 1.0526551008224487, accuracy = 0.8833333849906921
Model loss after 456 epochs = 1.052865982055664, accuracy = 0.9083333611488342
Model loss after 457 epochs = 1.0550330877304077, accuracy = 0.9000000357627869
Model loss after 458 epochs = 1.0540716648101807, accuracy = 0.9000000357627869
Model loss after 459 epochs = 1.0513893365859985, accuracy = 0.9083333611488342
Model loss after 460 epochs = 1.0533804893493652, accuracy = 0.9083333611488342
Model loss after 461 epochs = 1.0498452186584473, accuracy = 0.9083333611488342
Model loss after 462 epochs = 1.04641592502594, accuracy = 0.9166666865348816
Model loss after 463 epochs = 1.0467318296432495, accuracy = 0.9083333611488342
Model loss after 464 epochs = 1.040783166885376, accuracy = 0.9250000715255737
Model loss after 465 epochs = 1.046275019645691, accuracy = 0.9166666865348816
Model loss after 466 epochs = 1.0461621284484863, accuracy = 0.9166666865348816
Model loss after 467 epochs = 1.0490062236785889, accuracy = 0.9083333611488342
Model loss after 468 epochs = 1.0500056743621826, accuracy = 0.9000000357627869
Model loss after 469 epochs = 1.0449126958847046, accuracy = 0.9250000715255737
Model loss after 470 epochs = 1.0412209033966064, accuracy = 0.9166666865348816
Model loss after 471 epochs = 1.049802541732788, accuracy = 0.9000000357627869
Model loss after 472 epochs = 1.0420503616333008, accuracy = 0.9166666865348816
Model loss after 473 epochs = 1.0404391288757324, accuracy = 0.9250000715255737
Model loss after 474 epochs = 1.0439358949661255, accuracy = 0.9166666865348816
Model loss after 475 epochs = 1.0397313833236694, accuracy = 0.9166666865348816
Model loss after 476 epochs = 1.036906361579895, accuracy = 0.9166666865348816
Model loss after 477 epochs = 1.0368750095367432, accuracy = 0.9166666865348816
Model loss after 478 epochs = 1.036378264427185, accuracy = 0.9250000715255737
Model loss after 479 epochs = 1.0372278690338135, accuracy = 0.9250000715255737
Model loss after 480 epochs = 1.042182445526123, accuracy = 0.9166666865348816
Model loss after 481 epochs = 1.0556498765945435, accuracy = 0.8916667103767395
Model loss after 482 epochs = 1.1271822452545166, accuracy = 0.8333333730697632
Model loss after 483 epochs = 1.1212804317474365, accuracy = 0.8583333492279053
Model loss after 484 epochs = 1.1010102033615112, accuracy = 0.8666667342185974
Model loss after 485 epochs = 1.0786367654800415, accuracy = 0.9000000357627869
Model loss after 486 epochs = 1.0721098184585571, accuracy = 0.9000000357627869
Model loss after 487 epochs = 1.0761076211929321, accuracy = 0.9000000357627869
Model loss after 488 epochs = 1.0690350532531738, accuracy = 0.9000000357627869
Model loss after 489 epochs = 1.0685937404632568, accuracy = 0.8916667103767395
Model loss after 490 epochs = 1.0660738945007324, accuracy = 0.8833333849906921
Model loss after 491 epochs = 1.0650302171707153, accuracy = 0.8916667103767395
Model loss after 492 epochs = 1.0626376867294312, accuracy = 0.9000000357627869
Model loss after 493 epochs = 1.0637458562850952, accuracy = 0.8916667103767395
Model loss after 494 epochs = 1.0610640048980713, accuracy = 0.9083333611488342
Model loss after 495 epochs = 1.058396816253662, accuracy = 0.9083333611488342
Model loss after 496 epochs = 1.0591472387313843, accuracy = 0.9000000357627869
Model loss after 497 epochs = 1.0615503787994385, accuracy = 0.9000000357627869
Model loss after 498 epochs = 1.0602751970291138, accuracy = 0.9000000357627869
Model loss after 499 epochs = 1.0587131977081299, accuracy = 0.9083333611488342
Model loss after 500 epochs = 1.0576822757720947, accuracy = 0.9166666865348816
Model loss after 501 epochs = 1.0619333982467651, accuracy = 0.9000000357627869
Model loss after 502 epochs = 1.0561686754226685, accuracy = 0.9166666865348816
Model loss after 503 epochs = 1.0562700033187866, accuracy = 0.9083333611488342
Model loss after 504 epochs = 1.0512744188308716, accuracy = 0.9166666865348816
Model loss after 505 epochs = 1.0578101873397827, accuracy = 0.9083333611488342
Model loss after 506 epochs = 1.0645897388458252, accuracy = 0.8750000596046448
Model loss after 507 epochs = 1.0593067407608032, accuracy = 0.9000000357627869
Model loss after 508 epochs = 1.055005431175232, accuracy = 0.9166666865348816
Model loss after 509 epochs = 1.0580419301986694, accuracy = 0.9083333611488342
Model loss after 510 epochs = 1.0558311939239502, accuracy = 0.9166666865348816
Model loss after 511 epochs = 1.0588475465774536, accuracy = 0.8833333849906921
Model loss after 512 epochs = 1.058799386024475, accuracy = 0.9083333611488342
Model loss after 513 epochs = 1.0514105558395386, accuracy = 0.9166666865348816
Model loss after 514 epochs = 1.0509995222091675, accuracy = 0.9250000715255737
Model loss after 515 epochs = 1.0492087602615356, accuracy = 0.9250000715255737
Model loss after 516 epochs = 1.0513863563537598, accuracy = 0.9250000715255737
Model loss after 517 epochs = 1.0535037517547607, accuracy = 0.9166666865348816
Model loss after 518 epochs = 1.0506296157836914, accuracy = 0.9166666865348816
Model loss after 519 epochs = 1.0516413450241089, accuracy = 0.9166666865348816
Model loss after 520 epochs = 1.0474658012390137, accuracy = 0.9166666865348816
Model loss after 521 epochs = 1.0491057634353638, accuracy = 0.9083333611488342
Model loss after 522 epochs = 1.0480371713638306, accuracy = 0.9166666865348816
Model loss after 523 epochs = 1.0470093488693237, accuracy = 0.9250000715255737
Model loss after 524 epochs = 1.0451940298080444, accuracy = 0.9250000715255737
Model loss after 525 epochs = 1.0431170463562012, accuracy = 0.9250000715255737
Model loss after 526 epochs = 1.048799991607666, accuracy = 0.9083333611488342
Model loss after 527 epochs = 1.0463649034500122, accuracy = 0.9166666865348816
Model loss after 528 epochs = 1.0456010103225708, accuracy = 0.9166666865348816
Model loss after 529 epochs = 1.0471806526184082, accuracy = 0.9083333611488342
Model loss after 530 epochs = 1.0441616773605347, accuracy = 0.9166666865348816
Model loss after 531 epochs = 1.0431034564971924, accuracy = 0.9166666865348816
Model loss after 532 epochs = 1.044181227684021, accuracy = 0.9083333611488342
Model loss after 533 epochs = 1.0429688692092896, accuracy = 0.9166666865348816
Model loss after 534 epochs = 1.0442156791687012, accuracy = 0.9166666865348816
Model loss after 535 epochs = 1.0430569648742676, accuracy = 0.9166666865348816
Model loss after 536 epochs = 1.045937418937683, accuracy = 0.9083333611488342
Model loss after 537 epochs = 1.0431822538375854, accuracy = 0.9166666865348816
Model loss after 538 epochs = 1.046180009841919, accuracy = 0.9083333611488342
Model loss after 539 epochs = 1.0500293970108032, accuracy = 0.9083333611488342
Model loss after 540 epochs = 1.0450494289398193, accuracy = 0.9083333611488342
Model loss after 541 epochs = 1.0427851676940918, accuracy = 0.9166666865348816
Model loss after 542 epochs = 1.044969916343689, accuracy = 0.9166666865348816
Model loss after 543 epochs = 1.043277382850647, accuracy = 0.9166666865348816
Model loss after 544 epochs = 1.0419648885726929, accuracy = 0.9083333611488342
Model loss after 545 epochs = 1.0398536920547485, accuracy = 0.9166666865348816
Model loss after 546 epochs = 1.045147180557251, accuracy = 0.9083333611488342
Model loss after 547 epochs = 1.0458941459655762, accuracy = 0.9000000357627869
Model loss after 548 epochs = 1.0386728048324585, accuracy = 0.9166666865348816
Model loss after 549 epochs = 1.0424153804779053, accuracy = 0.9000000357627869
Model loss after 550 epochs = 1.0411746501922607, accuracy = 0.9083333611488342
Model loss after 551 epochs = 1.036257266998291, accuracy = 0.9166666865348816
Model loss after 552 epochs = 1.034238338470459, accuracy = 0.9166666865348816
Model loss after 553 epochs = 1.0370749235153198, accuracy = 0.9083333611488342
Model loss after 554 epochs = 1.0340183973312378, accuracy = 0.9166666865348816
Model loss after 555 epochs = 1.0373395681381226, accuracy = 0.9083333611488342
Model loss after 556 epochs = 1.0327918529510498, accuracy = 0.9166666865348816
Model loss after 557 epochs = 1.033440351486206, accuracy = 0.9166666865348816
Model loss after 558 epochs = 1.0325177907943726, accuracy = 0.9166666865348816
Model loss after 559 epochs = 1.0332200527191162, accuracy = 0.9166666865348816
Model loss after 560 epochs = 1.0325350761413574, accuracy = 0.9166666865348816
Model loss after 561 epochs = 1.0329831838607788, accuracy = 0.9166666865348816
Model loss after 562 epochs = 1.0325379371643066, accuracy = 0.9166666865348816
Model loss after 563 epochs = 1.0327333211898804, accuracy = 0.9166666865348816
Model loss after 564 epochs = 1.038427710533142, accuracy = 0.9166666865348816
Model loss after 565 epochs = 1.029192328453064, accuracy = 0.9250000715255737
Model loss after 566 epochs = 1.0303044319152832, accuracy = 0.9166666865348816
Model loss after 567 epochs = 1.0343124866485596, accuracy = 0.9083333611488342
Model loss after 568 epochs = 1.030698537826538, accuracy = 0.9250000715255737
Model loss after 569 epochs = 1.0306392908096313, accuracy = 0.9250000715255737
Model loss after 570 epochs = 1.0316500663757324, accuracy = 0.9166666865348816
Model loss after 571 epochs = 1.0340741872787476, accuracy = 0.9083333611488342
Model loss after 572 epochs = 1.0326780080795288, accuracy = 0.9083333611488342
Model loss after 573 epochs = 1.028586745262146, accuracy = 0.9166666865348816
Model loss after 574 epochs = 1.0286846160888672, accuracy = 0.9166666865348816
Model loss after 575 epochs = 1.0298120975494385, accuracy = 0.9083333611488342
Model loss after 576 epochs = 1.0282742977142334, accuracy = 0.9166666865348816
Model loss after 577 epochs = 1.0272722244262695, accuracy = 0.9166666865348816
Model loss after 578 epochs = 1.0265604257583618, accuracy = 0.9166666865348816
Model loss after 579 epochs = 1.0262451171875, accuracy = 0.9166666865348816
Model loss after 580 epochs = 1.025534749031067, accuracy = 0.9166666865348816
Model loss after 581 epochs = 1.0312718152999878, accuracy = 0.9166666865348816
Model loss after 582 epochs = 1.0294691324234009, accuracy = 0.9166666865348816
Model loss after 583 epochs = 1.0260215997695923, accuracy = 0.9166666865348816
Model loss after 584 epochs = 1.0240737199783325, accuracy = 0.9250000715255737
Model loss after 585 epochs = 1.0337613821029663, accuracy = 0.9083333611488342
Model loss after 586 epochs = 1.0342191457748413, accuracy = 0.9000000357627869
Model loss after 587 epochs = 1.0406500101089478, accuracy = 0.8833333849906921
Model loss after 588 epochs = 1.0394856929779053, accuracy = 0.8916667103767395
Model loss after 589 epochs = 1.0275307893753052, accuracy = 0.9166666865348816
Model loss after 590 epochs = 1.0274713039398193, accuracy = 0.9250000715255737
Model loss after 591 epochs = 1.0264661312103271, accuracy = 0.9166666865348816
Model loss after 592 epochs = 1.0261949300765991, accuracy = 0.9166666865348816
Model loss after 593 epochs = 1.021630883216858, accuracy = 0.9166666865348816
Model loss after 594 epochs = 1.0199826955795288, accuracy = 0.9250000715255737
Model loss after 595 epochs = 1.0267255306243896, accuracy = 0.9166666865348816
Model loss after 596 epochs = 1.0275312662124634, accuracy = 0.9166666865348816
Model loss after 597 epochs = 1.0329729318618774, accuracy = 0.9083333611488342
Model loss after 598 epochs = 1.0206515789031982, accuracy = 0.9166666865348816
Model loss after 599 epochs = 1.021397352218628, accuracy = 0.9166666865348816
Model loss after 600 epochs = 1.0195144414901733, accuracy = 0.9250000715255737

Final confusion matrix:
[0.93333333 0.         0.         0.06666667 0.        ]
[0.         0.94117647 0.         0.         0.05882353]
[0.04 0.04 0.92 0.   0.  ]
[0.09375 0.      0.03125 0.875   0.     ]
[0. 0. 0. 0. 1.]
